S train_x,D train_x,P(Df|e) train_x,P(D|e) train_x,S valid_x,D valid_x,P(Df|e) valid_x,P(D|e) valid_x,S test_x,D test_x,P(Df|e) test_x,P(D|e) test_x
0,0,0.00025906527298502624,0.0,0,0,0.00019501952920109034,0.0,0,1,0.9997143149375916,1.0
0,1,0.9999650716781616,1.0,1,0,2.2328636987367645e-5,0.0,1,0,1.1661823918984737e-5,0.0
0,1,0.9999059438705444,0.0,0,1,0.4533773362636566,0.0,1,1,0.9992037415504456,1.0
0,0,0.009696616791188717,0.0,1,1,0.9277125000953674,0.9999995231628418,0,0,0.013502136804163456,0.0
0,0,0.11019487679004669,0.0,0,1,0.9999593496322632,0.0,1,0,3.19478967867326e-5,0.0
0,1,0.9999765157699585,1.0,0,0,0.016935262829065323,0.0,0,0,0.2197647988796234,0.0
1,0,2.2825841369922273e-5,0.0,1,1,0.19856923818588257,0.999999463558197,0,1,0.9999974966049194,1.0
1,0,2.043571657850407e-5,0.0,0,1,0.9999688863754272,1.0,0,0,0.02551049366593361,0.0
1,0,8.891875609151612e-7,0.0,0,0,0.054843105375766754,0.0,0,0,0.06925027072429657,0.0
0,1,0.9901556968688965,0.0,1,0,0.0018144833156839013,1.0,0,0,0.10404365509748459,0.0
0,0,0.0032719294540584087,0.0,1,0,5.499256872099068e-7,0.0,0,1,0.9999984502792358,1.0
0,0,0.008687060326337814,0.0,0,1,0.9929614067077637,0.0,1,0,1.2795645716323634e-6,0.0
0,1,1.0,1.0,0,1,1.0,1.0,0,0,0.00464116083458066,0.0
0,0,0.027071870863437653,0.0,0,0,0.007967134937644005,0.0,0,1,0.9999984502792358,1.0
1,1,0.9990646243095398,1.0,0,1,0.9991948008537292,0.0,0,0,0.0016947517869994044,0.0
0,0,0.005045625381171703,0.0,1,1,0.9989932179450989,1.0,1,1,0.8658329844474792,0.9999996423721313
0,1,0.9999412298202515,1.0,0,1,0.9999717473983765,1.0,0,1,0.9995265007019043,1.0
1,1,0.8768733143806458,1.0,0,1,0.9999994039535522,1.0,0,0,0.0032730749808251858,0.0
0,1,1.0,1.0,0,0,0.09196919947862625,0.0,0,0,0.057886652648448944,0.0
0,0,0.06186945363879204,0.0,0,0,0.0006431773072108626,0.0,1,0,0.0003420666325837374,0.0
0,0,0.04791472107172012,0.0,0,0,0.36377713084220886,0.0,0,1,0.999996542930603,1.0
1,1,0.9989988803863525,1.0,0,1,0.999966025352478,0.9999998807907104,0,1,0.9437883496284485,0.0
0,1,0.9999898672103882,1.0,0,0,0.0017933003837242723,0.0,1,1,0.9997242093086243,1.0
0,0,0.00396313751116395,0.0,0,0,0.1447332501411438,0.0,0,0,0.24249772727489471,0.0
0,1,0.9999059438705444,1.0,0,0,0.053205665200948715,0.0,1,1,0.9345990419387817,1.0
0,0,0.3060697019100189,0.0,1,0,0.0015624663792550564,0.0,0,1,0.9999221563339233,1.0
0,0,0.0009802570566534996,0.0,0,0,0.08396153897047043,0.0,1,0,1.3398914234130643e-5,0.0
0,0,0.00047198645188473165,0.0,0,0,0.010879993438720703,0.0,0,0,0.0001466858811909333,0.0
0,0,0.0018641079077497125,0.0,0,1,0.9999984502792358,1.0,0,1,0.999341607093811,0.0
0,1,0.9998363256454468,1.0,0,0,0.0002489005564711988,0.0,0,1,0.8195569515228271,0.0
0,1,0.999843955039978,1.0,0,1,0.9999841451644897,1.0,0,0,0.0010844952194020152,0.0
1,0,3.4018933092738735e-7,0.0,0,0,0.001072920043952763,0.0,1,0,4.19836609921731e-9,0.0
0,1,0.9999555349349976,1.0,0,1,1.0,1.0,1,1,0.9298019409179688,0.9999998807907104
0,1,1.0,1.0,0,1,0.8028450012207031,0.0,1,1,0.9821798801422119,1.0
0,0,0.00037908399826847017,0.0,1,0,2.0907721136609325e-6,0.0,0,1,0.2695219814777374,0.0
1,0,7.631049811607227e-6,0.0,0,0,0.0018906412879005075,0.0,1,0,0.021368980407714844,0.9999998807907104
0,1,1.0,1.0,0,1,1.0,1.0,1,0,1.208675737274234e-8,0.0
0,1,0.9373032450675964,0.0,1,1,0.988344669342041,1.0,0,0,0.004059369210153818,0.0
0,1,0.9820371866226196,0.0,0,0,0.0074586221016943455,0.0,0,0,0.06129537895321846,0.0
0,0,0.00024990856763906777,0.0,1,0,0.00014061781985219568,0.0,1,0,0.001699567772448063,0.0
0,0,0.0022340258583426476,0.0,0,1,0.9998162984848022,0.0,0,1,0.2983993589878082,0.0
0,1,0.8859148621559143,0.0,0,1,0.9999841451644897,1.0,1,1,0.9990550875663757,0.9999997019767761
0,1,0.999996542930603,1.0,1,1,0.9853857159614563,1.0,0,0,0.0015101146418601274,0.0
0,1,1.0,1.0,0,0,0.010984720662236214,0.0,1,1,0.9981684684753418,0.9999996423721313
0,0,0.004921824671328068,0.0,0,0,0.0004346509522292763,0.0,0,0,0.03864041343331337,0.0
0,0,1.91069848369807e-5,0.0,0,0,0.007209419272840023,0.0,0,0,0.00013124757970217615,0.0
0,0,0.16729511320590973,0.0,0,1,0.9667041897773743,0.0,0,0,0.01303725317120552,0.0
0,1,0.999996542930603,1.0,0,1,0.9941012263298035,0.0,0,1,1.0,1.0
1,1,0.9977735280990601,0.9999997019767761,1,1,0.9901050925254822,1.0,0,1,0.9988566040992737,1.0
0,0,0.004646351095288992,0.0,0,0,0.002127995016053319,0.0,0,1,0.9998029470443726,1.0
0,1,1.0,1.0,0,1,0.554532527923584,0.0,0,1,1.0,1.0
1,0,1.9387158317840658e-5,0.0,0,0,0.0019458574242889881,0.0,0,1,1.0,1.0
1,1,0.9971799254417419,0.9999992847442627,0,0,0.16438476741313934,0.0,0,1,0.9999526739120483,1.0
1,1,0.9979305267333984,0.9999997615814209,0,1,0.9999994039535522,1.0,1,1,0.99662184715271,0.9999998211860657
0,0,0.013133004307746887,0.0,0,0,0.00648441631346941,0.0,1,1,0.9988198280334473,0.9999999403953552
