,workclass,fnlwgt,education,education-num,hours-per-week,marital-status,occupation,relationship,race,sex,native-country,capital-gain,capital-loss,target,xy,ground_truth,prob
0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,"(1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0)",0,0.38461538461538464
1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.27586206896551724
2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.007112375533428165
3,1,1,0,0,1,0,0,1,0,0,1,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0,0.07971014492753623
4,1,1,1,1,1,0,1,1,0,1,0,0,0,0,"(1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0)",0,0.3333333333333333
5,1,1,1,1,1,0,1,1,1,1,1,0,0,0,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0)",0,0.08333333333333333
6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0,0.2
7,0,1,0,0,1,0,1,1,1,0,1,0,0,1,"(0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
8,1,0,1,1,1,1,1,0,1,1,1,1,0,1,"(1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1)",1,0.9
9,1,0,1,1,1,0,1,1,1,0,1,1,0,1,"(1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1)",1,1.0
10,1,1,1,0,1,0,1,1,0,0,1,0,0,1,"(1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1)",1,1.0
11,1,0,1,1,1,0,1,1,0,0,0,0,0,1,"(1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1)",1,1.0
12,1,0,1,1,0,1,0,0,1,1,1,0,0,1,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1)",0,0.07142857142857142
13,1,1,1,1,1,1,1,0,0,0,1,0,0,0,"(1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0)",0,0.046511627906976744
14,1,0,1,1,1,0,0,1,0,0,0,0,0,1,"(1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",1,1.0
15,1,1,0,0,1,0,0,1,0,0,0,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0)",0,0.043478260869565216
16,0,0,0,0,0,1,0,0,1,0,1,0,0,0,"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.03225806451612903
17,1,0,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.004842615012106538
18,1,0,0,0,1,0,1,1,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",0,0.16783216783216784
19,0,1,1,1,1,1,1,0,1,1,1,0,0,1,"(0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1)",1,0.5
20,1,1,1,1,1,0,1,1,1,0,1,0,0,1,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1)",1,1.0
21,1,1,0,0,0,1,0,0,0,1,1,0,0,0,"(1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0)",0,0.012987012987012988
22,1,0,0,0,1,0,0,1,0,0,1,0,0,0,"(1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0)",0,0.05042016806722689
23,1,0,0,0,1,0,0,1,1,0,1,0,1,0,"(1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0)",0,0.17391304347826086
24,1,0,0,0,1,1,1,0,1,1,1,0,0,0,"(1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0)",0,0.006896551724137931
25,1,1,1,1,1,0,1,1,1,0,1,0,0,0,"(1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0)",1,0.43783783783783786
26,1,0,0,0,1,1,0,0,1,0,1,0,0,0,"(1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0)",0,0.004842615012106538
27,1,0,1,0,1,0,0,1,0,0,0,0,0,1,"(1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)",1,1.0
28,1,1,0,0,1,1,1,0,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.03278688524590164
29,1,1,0,0,1,0,0,1,1,0,1,0,0,0,"(1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0)",0,0.08323424494649227
30,1,1,1,1,1,1,1,0,1,0,1,0,0,0,"(1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0)",0,0.07718120805369127
