,xy,yf,prob
0,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
1,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
2,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
3,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
4,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
5,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
6,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
7,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
8,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
9,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
10,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
11,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
12,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
13,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
14,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
15,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
16,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
17,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
18,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
19,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
20,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
21,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
22,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
23,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
24,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
25,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
26,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
27,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
28,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
29,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
30,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
31,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
32,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
33,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
34,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
35,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
36,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
37,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
38,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
39,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
40,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
41,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
42,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
43,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
44,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
45,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
46,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
47,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
48,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
49,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
50,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
51,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
52,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
53,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
54,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
55,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
56,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
57,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
58,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
59,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
60,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
61,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
62,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
63,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
64,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
65,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
66,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
67,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
68,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
69,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
70,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
71,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
72,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
73,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
74,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
75,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
76,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
77,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
78,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
79,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
80,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
81,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
82,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
83,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
84,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
85,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
86,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
87,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
88,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
89,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
90,"(0, 1, 0, 0, 1, 0, 0)",1,0.9958702064896755
