,noise,level,metric,model,ground
0,bias,0.1,accuracy,LR_noisy,0.834 + 0.006 
1,bias,0.1,accuracy,Reweight_noisy,0.827 + 0.006 
2,bias,0.1,accuracy,Reduction_noisy,0.809 + 0.009 
3,bias,0.1,accuracy,FR_fair,0.811 + 0.008
4,bias,0.1,accuracy,FR_emp,0.828 + 0.005
5,bias,0.1,accuracy,LR_fair,0.834 + 0.008
6,bias,0.1,accuracy,Reweight_fair,0.821 + 0.015
7,bias,0.1,accuracy,Reduction_fair,0.823 + 0.011
8,bias,0.1,accuracy,FR_fair,0.811 + 0.008
9,bias,0.1,accuracy,FR_emp,0.828 + 0.005
10,bias,0.1,accuracy,LR_emp,0.834 +  0.008
11,bias,0.1,accuracy,Reweight_emp,0.821 +  0.014
12,bias,0.1,accuracy,Reduction_emp,0.823 +  0.011
13,bias,0.1,accuracy,FR_fair,0.811 + 0.008
14,bias,0.1,accuracy,FR_emp,0.828 + 0.005
15,bias,0.1,Equal_Opportunity,LR_noisy,0.047 + 0.044 
16,bias,0.1,Equal_Opportunity,Reweight_noisy,0.151 + 0.069 
17,bias,0.1,Equal_Opportunity,Reduction_noisy,0.243 + 0.075 
18,bias,0.1,Equal_Opportunity,FR_fair,0.280 + 0.077
19,bias,0.1,Equal_Opportunity,FR_emp,0.055 + 0.032
20,bias,0.1,Equal_Opportunity,LR_fair,0.107 + 0.076
21,bias,0.1,Equal_Opportunity,Reweight_fair,0.132 + 0.092
22,bias,0.1,Equal_Opportunity,Reduction_fair,0.131 + 0.082
23,bias,0.1,Equal_Opportunity,FR_fair,0.280 + 0.077
24,bias,0.1,Equal_Opportunity,FR_emp,0.055 + 0.032
25,bias,0.1,Equal_Opportunity,LR_emp,0.106 +  0.075
26,bias,0.1,Equal_Opportunity,Reweight_emp,0.127 +  0.092
27,bias,0.1,Equal_Opportunity,Reduction_emp,0.128 +  0.082
28,bias,0.1,Equal_Opportunity,FR_fair,0.280 + 0.077
29,bias,0.1,Equal_Opportunity,FR_emp,0.055 + 0.032
30,bias,0.1,equalized_odds,LR_noisy,0.075 + 0.026 
31,bias,0.1,equalized_odds,Reweight_noisy,0.151 + 0.069 
32,bias,0.1,equalized_odds,Reduction_noisy,0.243 + 0.075 
33,bias,0.1,equalized_odds,FR_fair,0.280 + 0.077
34,bias,0.1,equalized_odds,FR_emp,0.057 + 0.029
35,bias,0.1,equalized_odds,LR_fair,0.113 + 0.072
36,bias,0.1,equalized_odds,Reweight_fair,0.136 + 0.088
37,bias,0.1,equalized_odds,Reduction_fair,0.131 + 0.082
38,bias,0.1,equalized_odds,FR_fair,0.280 + 0.077
39,bias,0.1,equalized_odds,FR_emp,0.057 + 0.029
40,bias,0.1,equalized_odds,LR_emp,0.113 +  0.070
41,bias,0.1,equalized_odds,Reweight_emp,0.131 +  0.088
42,bias,0.1,equalized_odds,Reduction_emp,0.128 +  0.082
43,bias,0.1,equalized_odds,FR_fair,0.280 + 0.077
44,bias,0.1,equalized_odds,FR_emp,0.057 + 0.029
