,FNR_diff,FPR_diff,equalized_odds,demographic_parity,demographic_parity_ratio,Equal_Opportunity,accuracy,f1_score,precision,recall,FNR,FPR,name,noise,level,fold,model,label_type,eval_type
0,0.14527133216233706,0.025159489633173826,0.14527133216233712,0.08613877034929673,0.8376526660708965,0.14527133216233712,0.807,0.8113391984359726,0.8217821782178217,0.8011583011583011,0.19884169884169883,0.18672199170124482,synthetic_20,bias,0.3,x1,LR,fair,fair_clean
1,0.07237842249283893,0.0533151059466849,0.07237842249283899,0.08613877034929673,0.8376526660708965,0.07237842249283899,0.757,0.7760368663594469,0.8336633663366336,0.7258620689655172,0.27413793103448275,0.2,synthetic_20,bias,0.3,x1,LR,fair,emp_clean
2,0.06682031286997425,0.05684315684315683,0.06682031286997425,0.08613877034929673,0.8376526660708965,0.06682031286997425,0.755,0.775435380384968,0.8376237623762376,0.7218430034129693,0.2781569965870307,0.19806763285024154,synthetic_20,bias,0.3,x1,LR,fair,noisy
3,0.18778735077077616,0.05194805194805194,0.18778735077077613,0.08613877034929673,0.8376526660708965,0.18778735077077613,0.804,0.805940594059406,0.805940594059406,0.805940594059406,0.19405940594059407,0.19797979797979798,synthetic_20,bias,0.3,x1,LR,fair,ground
4,0.03838402514560413,0.012240829346092497,0.03838402514560413,0.051046261572577356,0.9035335433184896,0.03838402514560413,0.804,0.810077519379845,0.8132295719844358,0.806949806949807,0.19305019305019305,0.1991701244813278,synthetic_20,bias,0.3,x1,Reduction,fair,fair_clean
5,0.03213262709830214,0.010252904989747097,0.03213262709830211,0.051046261572577356,0.9035335433184896,0.03213262709830211,0.754,0.7751371115173674,0.8249027237354085,0.7310344827586207,0.2689655172413793,0.21428571428571427,synthetic_20,bias,0.3,x1,Reduction,fair,emp_clean
6,0.037411798134145774,0.013086913086913066,0.037411798134145746,0.051046261572577356,0.9035335433184896,0.037411798134145746,0.752,0.7745454545454545,0.8287937743190662,0.726962457337884,0.27303754266211605,0.21256038647342995,synthetic_20,bias,0.3,x1,Reduction,fair,noisy
7,0.08177181934088013,0.018433179723502308,0.08177181934088018,0.051046261572577356,0.9035335433184896,0.08177181934088018,0.803,0.8066732090284592,0.7996108949416343,0.8138613861386138,0.18613861386138614,0.2080808080808081,synthetic_20,bias,0.3,x1,Reduction,fair,ground
8,0.0740131274845151,0.021850079744816592,0.07401312748451516,0.07357117883433673,0.8624453757432481,0.07401312748451516,0.803,0.8089233753637245,0.8128654970760234,0.805019305019305,0.19498069498069498,0.1991701244813278,synthetic_20,bias,0.3,x1,Reweight,fair,fair_clean
9,0.00041605991262738673,0.0037593984962406013,0.0037593984962406013,0.07357117883433673,0.8624453757432481,0.00041605991262738673,0.751,0.7721866422689845,0.8226120857699805,0.7275862068965517,0.27241379310344827,0.21666666666666667,synthetic_20,bias,0.3,x1,Reweight,fair,emp_clean
10,0.004925097475887541,0.0010989010989011228,0.004925097475887541,0.07357117883433673,0.8624453757432481,0.004925097475887541,0.749,0.7716105550500455,0.8265107212475633,0.7235494880546075,0.2764505119453925,0.21497584541062803,synthetic_20,bias,0.3,x1,Reweight,fair,noisy
