,noise,level,metric,model,ground
0,bias,0.1,accuracy,LR_noisy,0.7979 + 0.011249197502241844 
1,bias,0.1,accuracy,Reweight_noisy,0.7962 + 0.010799176923368837 
2,bias,0.1,accuracy,Reduction_noisy,0.7859999999999999 + 0.009637888196533983 
3,bias,0.1,accuracy,FR_fair,0.7924 + 0.012799305536716534
4,bias,0.1,accuracy,FR_emp,0.7926 + 0.018816068782943063
5,bias,0.1,accuracy,LR_fair,0.7952105263157896 + 0.015565556517760678
6,bias,0.1,accuracy,Reweight_fair,0.7920000000000001 + 0.014232201360139465
7,bias,0.1,accuracy,Reduction_fair,0.7934210526315791 + 0.013623165684775836
8,bias,0.1,accuracy,FR_fair,0.7924 + 0.012799305536716534
9,bias,0.1,accuracy,FR_emp,0.7926 + 0.018816068782943063
10,bias,0.1,accuracy,LR_emp,0.7958000000000001 +  0.015378043130590947
11,bias,0.1,accuracy,Reweight_emp,0.7922500000000001 +  0.013897652206114
12,bias,0.1,accuracy,Reduction_emp,0.7937500000000002 +  0.013341170942059893
13,bias,0.1,accuracy,FR_fair,0.7924 + 0.012799305536716534
14,bias,0.1,accuracy,FR_emp,0.7926 + 0.018816068782943063
15,bias,0.1,Equal_Opportunity,LR_noisy,0.0623352696763392 + 0.042615448383721215 
16,bias,0.1,Equal_Opportunity,Reweight_noisy,0.03645254321857886 + 0.019997161046778216 
17,bias,0.1,Equal_Opportunity,Reduction_noisy,0.04685904339446932 + 0.03837854975608702 
18,bias,0.1,Equal_Opportunity,FR_fair,0.037671935822301446 + 0.029815940612423427
19,bias,0.1,Equal_Opportunity,FR_emp,0.1287156282543821 + 0.061288178501575474
20,bias,0.1,Equal_Opportunity,LR_fair,0.12584533451251795 + 0.04995076174109914
21,bias,0.1,Equal_Opportunity,Reweight_fair,0.0570377314592655 + 0.034550509633714345
22,bias,0.1,Equal_Opportunity,Reduction_fair,0.05481334111413226 + 0.03662937313538217
23,bias,0.1,Equal_Opportunity,FR_fair,0.037671935822301446 + 0.029815940612423427
24,bias,0.1,Equal_Opportunity,FR_emp,0.1287156282543821 + 0.061288178501575474
25,bias,0.1,Equal_Opportunity,LR_emp,0.122579264715528 +  0.05076517419111812
26,bias,0.1,Equal_Opportunity,Reweight_emp,0.055089187253059224 +  0.034739687758826326
27,bias,0.1,Equal_Opportunity,Reduction_emp,0.05307538408552592 +  0.03648978626661833
28,bias,0.1,Equal_Opportunity,FR_fair,0.037671935822301446 + 0.029815940612423427
29,bias,0.1,Equal_Opportunity,FR_emp,0.1287156282543821 + 0.061288178501575474
30,bias,0.1,equalized_odds,LR_noisy,0.1843217086721423 + 0.032062813673856785 
31,bias,0.1,equalized_odds,Reweight_noisy,0.11132102035840422 + 0.03579230832272824 
32,bias,0.1,equalized_odds,Reduction_noisy,0.05482274097087134 + 0.033657550350091735 
33,bias,0.1,equalized_odds,FR_fair,0.0561473875565771 + 0.023169716403213032
34,bias,0.1,equalized_odds,FR_emp,0.1713241939834319 + 0.03634407321601212
35,bias,0.1,equalized_odds,LR_fair,0.13648710072727585 + 0.037780075170095
36,bias,0.1,equalized_odds,Reweight_fair,0.06668456170947605 + 0.02855807615060589
37,bias,0.1,equalized_odds,Reduction_fair,0.06788760855608904 + 0.0306726782627171
38,bias,0.1,equalized_odds,FR_fair,0.0561473875565771 + 0.023169716403213032
39,bias,0.1,equalized_odds,FR_emp,0.1713241939834319 + 0.03634407321601212
40,bias,0.1,equalized_odds,LR_emp,0.132688942619548 +  0.04050594195640544
41,bias,0.1,equalized_odds,Reweight_emp,0.06500304236430746 +  0.02879564990788809
42,bias,0.1,equalized_odds,Reduction_emp,0.06605116480507316 +  0.030963643536277945
43,bias,0.1,equalized_odds,FR_fair,0.0561473875565771 + 0.023169716403213032
44,bias,0.1,equalized_odds,FR_emp,0.1713241939834319 + 0.03634407321601212
